Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2023-03-17,7544122,983602,1377542,1520777,335819.0,3435702,1084306.0,4290140,1333942,858624,1803525,46606422
2023-03-20,2958744,721115,608005,1556502,91.0,1225366,1482635.0,1633144,650895,531765,484081,13225407
2023-03-21,1996353,838522,520388,885455,0.0,896128,1033397.0,1320723,609612,210459,359112,9881632
2023-03-22,1981443,429075,1281177,1433988,0.0,1269926,363482.0,1476251,838146,323546,659096,15284841
2023-03-23,1611235,571241,757006,1651565,0.0,806489,156903.0,1695774,852430,422291,667878,16356702
2023-03-24,5576626,419387,812268,1548257,0.0,1628560,80668.0,1120972,964380,504623,379012,13916899
2023-03-27,3195056,650115,731411,0,90.0,1111170,1600661.0,888697,818003,500725,368430,10609396
2023-03-28,2886365,878785,860365,5258489,0.0,701450,383469.0,1789369,2178294,629632,595349,15463039
2023-03-29,1913767,457337,1354881,4192896,,1217964,,747767,506771,617258,573591,18445868
2023-03-30,2233405,215034,1755863,3726206,124723.0,1370416,616818.0,2263404,855921,1121631,615503,31342929
2023-03-31,4127987,278615,1105651,3883735,0.0,1449075,1294517.0,901138,721708,925008,337673,20284161
2023-04-03,3629973,1975068,867237,1217654,34006.0,915233,2282535.0,480038,639047,1646624,208082,17837967
2023-04-04,23670281,962880,352944,1454789,0.0,1648953,807308.0,810933,741395,649261,276607,15596188
2023-04-05,2500762,499714,995273,2137572,0.0,2084805,77850.0,3615472,1013804,525480,266850,16573843
2023-04-06,2407528,584106,773285,1471786,0.0,1013130,4173385.0,1463779,1528249,199382,340930,16166032
2023-04-11,3775579,720708,1930909,1856365,259872.0,1366625,264922.0,1326731,869747,295915,608890,19281030
2023-04-12,3210794,444203,1078304,2589727,116000.0,672332,1911442.0,706932,1573307,213685,351462,16659376
2023-04-13,2534178,634127,954054,1509296,648625.0,3131149,619462.0,1156285,954524,94372,235713,16363927
2023-04-14,2859078,323845,1022869,1281148,0.0,1084146,170001.0,1787674,875376,280433,324825,12957604
2023-04-17,1599360,447090,389805,1432659,373740.0,1549253,56134.0,1102340,624027,334791,200335,7810112
2023-04-18,2031088,1923983,1509019,1207111,0.0,1468424,1264706.0,2529210,795547,423866,201879,10790890
2023-04-19,2476115,954689,696779,1247098,0.0,1326417,518073.0,1046714,1049153,499737,172860,15894348
2023-04-20,1760348,824792,473459,1173416,0.0,1364443,528912.0,1390977,1122926,650080,436415,16985355
2023-04-21,1703746,318147,455962,790439,0.0,1400008,909254.0,631924,1263794,614522,484067,14568280
2023-04-24,1485723,354319,300140,586314,112.0,936349,2046182.0,486836,849123,236716,206935,45819576
2023-04-26,2181050,365720,524504,1314868,0.0,2231801,157376.0,654462,3802920,541349,334521,36916802
2023-04-27,1652852,375016,337644,2321626,0.0,1302093,798158.0,490673,1424472,596031,381457,17959726
2023-04-28,1717698,195413,943850,1453292,0.0,1342929,150967.0,900823,1172948,148443,401230,17606120
2023-05-01,2406714,609188,1661639,1302726,1894709.0,1484265,44.0,333685,1116916,559448,287506,9644885
2023-05-02,1520784,267463,988369,1097387,316129.0,2094540,142615.0,658802,1019354,308497,332695,18080120
2023-05-03,2279235,560903,758074,1178930,1974203.0,1218623,160000.0,681874,1226279,136746,427959,13638077
2023-05-04,4026112,416796,821777,1467402,248588.0,2265428,427371.0,1352410,1700136,122982,322716,12440229
2023-05-05,1680919,285282,1409850,1368208,0.0,847046,1089116.0,691176,1658026,206173,265066,9312250
2023-05-08,3024890,216719,507755,1187096,91.0,2697593,212434.0,1124825,753557,2527913,329962,11944779
2023-05-09,1979431,402462,509169,1097498,280000.0,2376510,1217158.0,669720,1073837,505737,402635,11380740
2023-05-10,1756765,276225,393821,928221,2359300.0,1624776,101800.0,582660,943879,513103,614260,10158578
2023-05-11,1753342,238971,352561,0,751170.0,875600,640638.0,462685,1658484,349938,344917,16814955
2023-05-12,1132428,253536,1079605,1939864,0.0,1137699,1970872.0,597298,1054756,254572,321947,17573009
